date,hh,state,distance,consumption
2020-03-02 01:15:00,25.25,home,0.0,0.0
2020-03-02 01:30:00,25.5,home,0.0,0.0
2020-03-02 01:45:00,25.75,home,0.0,0.0
2020-03-02 02:00:00,26.0,home,0.0,0.0
2020-03-02 02:15:00,26.25,home,0.0,0.0
2020-03-02 02:30:00,26.5,home,0.0,0.0
2020-03-02 02:45:00,26.75,home,0.0,0.0
2020-03-02 03:00:00,27.0,home,0.0,0.0
2020-03-02 03:15:00,27.25,home,0.0,0.0
2020-03-02 03:30:00,27.5,home,0.0,0.0
2020-03-02 03:45:00,27.75,home,0.0,0.0
2020-03-02 04:00:00,28.0,home,0.0,0.0
2020-03-02 04:15:00,28.25,home,0.0,0.0
2020-03-02 04:30:00,28.5,home,0.0,0.0
2020-03-02 04:45:00,28.75,home,0.0,0.0
2020-03-02 05:00:00,29.0,home,0.0,0.0
2020-03-02 05:15:00,29.25,home,0.0,0.0
2020-03-02 05:30:00,29.5,home,0.0,0.0
2020-03-02 05:45:00,29.75,home,0.0,0.0
2020-03-02 06:00:00,30.0,home,0.0,0.0
2020-03-02 06:15:00,30.25,home,0.0,0.0
2020-03-02 06:30:00,30.5,home,0.0,0.0
2020-03-02 06:45:00,30.75,home,0.0,0.0
2020-03-02 07:00:00,31.0,home,0.0,0.0
2020-03-02 07:15:00,31.25,home,0.0,0.0
2020-03-02 07:30:00,31.5,home,0.0,0.0
2020-03-02 07:45:00,31.75,home,0.0,0.0
2020-03-02 08:00:00,32.0,home,0.0,0.0
2020-03-02 08:15:00,32.25,home,0.0,0.0
2020-03-02 08:30:00,32.5,home,0.0,0.0
2020-03-02 08:45:00,32.75,home,0.0,0.0
2020-03-02 09:00:00,33.0,home,0.0,0.0
2020-03-02 09:15:00,33.25,home,0.0,0.0
2020-03-02 09:30:00,33.5,home,0.0,0.0
2020-03-02 09:45:00,33.75,home,0.0,0.0
2020-03-02 10:00:00,34.0,home,0.0,0.0
2020-03-02 10:15:00,34.25,home,0.0,0.0
2020-03-02 10:30:00,34.5,home,0.0,0.0
2020-03-02 10:45:00,34.75,home,0.0,0.0
2020-03-02 11:00:00,35.0,home,0.0,0.0
2020-03-02 11:15:00,35.25,home,0.0,0.0
2020-03-02 11:30:00,35.5,home,0.0,0.0
2020-03-02 11:45:00,35.75,home,0.0,0.0
2020-03-02 12:00:00,36.0,home,0.0,0.0
2020-03-02 12:15:00,36.25,home,0.0,0.0
2020-03-02 12:30:00,36.5,home,0.0,0.0
2020-03-02 12:45:00,36.75,home,0.0,0.0
