hr,datetime,hr,state,distance,trip_duration,speed km/h,wind_m/s,slope_rad,road_type,temp_degC,pressure_mbar,dewpoint_degC,humidity,air_density_kg/m3,weather_time,consumption kWh/100 km,consumption kWh,battery discharge kWh,regeneration kWh,auxiliary kWh,hvac kWh,motor in kWh,transmission in kWh,wheel kWh,rolling res kWh,air res kWh,gravity kWh,acceleration kWh,trip code
9.0,2020-03-01 09:00:00,9.0,home,0.0,0.0,,0,0,0,-1.3799999999999955,1021.35,-3.42999999999995,85.8763933890428,1.3069319942268331,2020-03-01 09:00:00,,,,,,,,,,,,,,
9.5,2020-03-01 09:30:00,9.5,driving,6.0,16.0,22.5,0,0,0,-1.3799999999999955,1021.35,-3.42999999999995,85.8763933890428,1.3069319942268331,2020-03-01 09:00:00,19.89780243245844,1.321616419200136,1.3701756699212273,0.04138189230648925,0.08,0.33318701335500145,0.8884798730701644,0.7219020802589443,0.6858069762459972,0.3236754915262604,0.08913984069430378,0.0,0.2729916440254331,0.0
15.5,2020-03-01 15:30:00,15.5,escort,0.0,0.0,,0,0,0,2.590000000000032,1016.779,-2.9399999999999977,66.8250611944705,1.2822577284903682,2020-03-01 15:00:00,,,,,,,,,,,,,,
15.75,2020-03-01 15:45:00,15.75,driving,2.0,15.0,8.0,0,0,0,2.6000000000000227,1016.123,-2.6899999999999977,68.03342807979797,1.2813381614633728,2020-03-01 16:00:00,31.04858430328614,0.6689822824333875,0.6691774254846947,0.0001585049434241793,0.075,0.23345345511455176,0.3272650990959082,0.14757831688779133,0.14019940104340173,0.10270013827666637,0.003979006595829024,0.0,0.03352025617090617,1.0
86.0,2020-03-04 14:00:00,86.0,home,0.0,0.0,,0,0,0,5.1200000000000045,999.6110000000001,-0.9099999999999682,64.97188220649838,1.2487297131133677,2020-03-04 14:00:00,,,,,,,,,,,,,,
86.25,2020-03-04 14:15:00,86.25,driving,1.0,15.0,4.0,0,0,0,5.1200000000000045,999.6110000000001,-0.9099999999999682,64.97188220649838,1.2487297131133677,2020-03-04 14:00:00,56.56010123672134,0.6093306098983813,0.6093306098983814,0.0,0.075,0.196345346433435,0.3075187329700272,0.0660020734976344,0.06270196982275267,0.053786922996631126,0.0005349827833950637,0.0,0.008380064042726542,2.0
87.0,2020-03-04 15:00:00,87.0,leisure,0.0,0.0,,0,0,0,5.25,998.717,-0.9399999999999977,64.2443524046021,1.247033940228503,2020-03-04 15:00:00,,,,,,,,,,,,,,
87.25,2020-03-04 15:15:00,87.25,driving,1.0,10.0,6.0,0,0,0,5.25,998.717,-0.9399999999999977,64.2443524046021,1.247033940228503,2020-03-04 15:00:00,39.13788825955043,0.3844864395537424,0.38449351306928015,5.745462995448515e-06,0.05,0.12348738070030627,0.1917814567155098,0.061826701788662196,0.05873536669922908,0.047026656458294284,0.0009928987735093933,0.0,0.010715811467425413,3.0
88.75,2020-03-04 16:45:00,88.75,shopping,0.0,0.0,,0,0,0,4.78000000000003,997.8510000000001,-0.5799999999999841,68.16042966223877,1.2479846635346243,2020-03-04 17:00:00,,,,,,,,,,,,,,
89.25,2020-03-04 17:15:00,89.25,driving,20.0,20.0,60.0,0,0,0,4.78000000000003,997.8510000000001,-0.5799999999999841,68.16042966223877,1.2479846635346243,2020-03-04 17:00:00,20.049833977469422,4.076873934009549,4.173456430688625,0.08628973660493885,0.1,0.3379797367053143,3.5268038724488786,3.144789815722601,2.987550324936471,1.3085979934758003,1.1730123944779665,0.0,0.5059399369827036,4.0
105.75,2020-03-05 09:45:00,105.75,home,0.0,0.0,,0,0,0,3.6899999999999977,996.1339999999999,1.2300000000000182,83.91422551035568,1.2503449687735455,2020-03-05 10:00:00,,,,,,,,,,,,,,
106.5,2020-03-05 10:30:00,106.5,driving,9.0,42.0,12.857142857142856,0,0,0,3.6899999999999977,996.1339999999999,1.2300000000000182,83.91422551035568,1.2503449687735455,2020-03-05 10:00:00,23.43810771208649,2.072234483056305,2.085179755551223,0.01051885513337121,0.21,0.669339930248886,1.101580837524776,0.6755236994496694,0.6417475144771858,0.3983941312478986,0.0363748574963976,0.0,0.20697852573289077,5.0
108.25,2020-03-05 12:15:00,108.25,shopping,0.0,0.0,,0,0,0,5.03000000000003,996.138,1.7300000000000182,79.1782220089937,1.2442118478906643,2020-03-05 12:00:00,,,,,,,,,,,,,,
108.5,2020-03-05 12:30:00,108.5,driving,1.0,15.0,4.0,0,0,0,5.03000000000003,996.138,1.7300000000000182,79.1782220089937,1.2442118478906643,2020-03-05 12:00:00,56.69085698456838,0.6107392615422299,0.61073926154223,0.0,0.075,0.19768356549509122,0.3075187329700273,0.06609060617097942,0.06278607586243044,0.053872873581708176,0.000533138237995643,0.0,0.008380064042726542,6.0
110.5,2020-03-05 14:30:00,110.5,home,0.0,0.0,,0,0,0,5.600000000000023,995.823,1.8600000000000136,76.81012806502693,1.2412435805883817,2020-03-05 14:00:00,,,,,,,,,,,,,,
110.75,2020-03-05 14:45:00,110.75,driving,6.0,11.0,32.72727272727273,0,0,0,5.670000000000016,995.783,1.8700000000000045,76.49247092339343,1.2408796462115528,2020-03-05 15:00:00,15.99152987100188,0.9181213410033412,0.953362814001375,0.03021849421060102,0.055,0.14979838027220488,0.7008962930291015,0.5714179314195371,0.5428470348485601,0.2929357228117422,0.08489681969029379,0.0,0.165014492346524,7.0
117.0,2020-03-05 21:00:00,117.0,leisure,0.0,0.0,,0,0,0,3.160000000000025,997.185,1.8900000000000432,91.34849986854461,1.2539130840467394,2020-03-05 21:00:00,,,,,,,,,,,,,,
117.5,2020-03-05 21:30:00,117.5,driving,10.0,30.0,20.0,0,0,0,3.160000000000025,997.185,1.8900000000000432,91.34849986854461,1.2539130840467394,2020-03-05 21:00:00,19.45180095470016,1.9109241772020589,1.9698476322202385,0.049649790954339135,0.15,0.5075864450055223,1.2137688056037041,0.9370418096296694,0.8901897191481859,0.43930948910645096,0.0936865144608873,0.0,0.35719371558084706,8.0
129.25,2020-03-06 09:15:00,129.25,home,0.0,0.0,,0,0,0,1.8799999999999955,999.1110000000001,0.82000000000005,92.65650116242873,1.2624367620875183,2020-03-06 09:00:00,,,,,,,,,,,,,,
129.5,2020-03-06 09:30:00,129.5,driving,3.0,11.666666666666666,15.42857142857143,0,0,0,1.8799999999999955,999.1110000000001,0.82000000000005,92.65650116242873,1.2624367620875183,2020-03-06 09:00:00,20.991115397693022,0.6415389781619477,0.649431985658883,0.006477888392378773,0.058333333333333334,0.18735787732123516,0.37126917572137047,0.2557394554597179,0.24295248268673197,0.13990376740303903,0.01758161344429023,0.0,0.08546710183940259,9.0
138.0,2020-03-06 18:00:00,138.0,shopping,0.0,0.0,,0,0,0,2.990000000000009,1000.0269999999999,0.30000000000001137,82.44132522681166,1.258633121736574,2020-03-06 18:00:00,,,,,,,,,,,,,,
141.0,2020-03-06 21:00:00,141.0,driving,19.0,172.5,6.608695652173913,0,0,0,1.660000000000025,1001.416,0.010000000000047748,88.75958690185186,1.2665470812879702,2020-03-06 21:00:00,41.44362133684059,7.931978243365232,7.932237898857852,0.00021090517388162064,0.8625,3.2017288126854413,3.4713971912295207,1.2840240537629033,1.2198228510747582,0.9648485807190986,0.023856638091539283,0.0,0.23111763226412593,10.0
